id,Title,Price,Year,Mileage,Fuel_Type,Horsepower,Transmission,Page,Link
5327,Honda Civic Reborn 2006 VTi 1.8 i-VTEC for Sale,PKR 16.4 lacs,2006,"310,000 km",Petrol,1800 cc,Manual,page 151,https://www.pakwheels.com/used-cars/honda-civic-2006-for-sale-in-lahore-9289296
5328,Suzuki Mehran 2016 VXR Euro II for Sale,PKR 13.5 lacs,2016,"60,000 km",Petrol,796 cc,Manual,page 151,https://www.pakwheels.com/used-cars/suzuki-mehran-2016-for-sale-in-lahore-9289286
5329,Honda Civic EK 1996 VTi Automatic 1.6 for Sale,PKR 24 lacs,1996,"100,000 km",Petrol,1600 cc,Automatic,page 151,https://www.pakwheels.com/used-cars/honda-civic-1996-for-sale-in-lahore-9279733
5330,Daihatsu Mira 2018 G SA III for Sale,PKR 27.5 lacs,2018,"135,000 km",Petrol,660 cc,Automatic,page 151,https://www.pakwheels.com/used-cars/daihatsu-mira-2018-for-sale-in-lahore-9256788
5331,Suzuki Spacia 2014 for Sale,PKR 20.5 lacs,2014,"119,555 km",Petrol,660 cc,Automatic,page 151,https://www.pakwheels.com/used-cars/suzuki-spacia-2014-for-sale-in-lahore-9201663
5332,Daihatsu Hijet 2013 Cruise for Sale,PKR 15.75 lacs,2013,"171,300 km",Petrol,660 cc,Automatic,page 151,https://www.pakwheels.com/used-cars/daihatsu-hijet-2013-for-sale-in-lahore-8486191
5333,Honda N Box 2013 2Tone Color Style - L Package for Sale,PKR 22.5 lacs,2013,"96,000 km",Petrol,660 cc,Automatic,page 151,https://www.pakwheels.com/used-cars/honda-n-box-2013-for-sale-in-lahore-9289184
5334,MG HS 2022 for Sale,PKR 68 lacs,2022,"26,000 km",Petrol,1500 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/mg-hs-2022-for-sale-in-lahore-9289182
5335,Toyota Corolla 2004 SE Saloon for Sale,PKR 19 lacs,2004,"150,000 km",Petrol,1600 cc,Manual,page 152,https://www.pakwheels.com/used-cars/toyota-corolla-2004-for-sale-in-lahore-8705588
5336,Suzuki Wagon R 2015 Stingray J Style for Sale,PKR 17.73 lacs,2015,"95,000 km",Petrol,660 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2015-for-sale-in-lahore-9289172
5337,Honda Zest 2007 Dynamic Special for Sale,PKR 16.5 lacs,2007,"150,000 km",Petrol,660 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/honda-zest-2007-for-sale-in-lahore-9289169
5338,Suzuki Cultus 2012 EURO II for Sale,PKR 14.5 lacs,2012,"96,000 km",Petrol,1000 cc,Manual,page 152,https://www.pakwheels.com/used-cars/suzuki-cultus-2012-for-sale-in-lahore-9289154
5339,Honda Civic 2000 VTi Automatic 1.6 for Sale,PKR 15 lacs,2000,"220,000 km",Petrol,1600 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/honda-civic-2000-for-sale-in-lahore-9028511
5340,Toyota Corolla 2006 Altis Automatic 1.8 for Sale,PKR 21.7 lacs,2006,"186,000 km",Petrol,1800 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/toyota-corolla-2006-for-sale-in-lahore-9245710
5341,Audi A4 2017 1.4 TFSI for Sale,PKR 1.19 crore,2017,"48,000 km",Petrol,1400 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/audi-a4-2017-for-sale-in-lahore-9289129
5342,Suzuki Mehran 2012 VXR (CNG) for Sale,PKR 7.6 lacs,2012,"115,000 km",Petrol,800 cc,Manual,page 152,https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-lahore-9289093
5343,Toyota Surf 1985 for Sale,PKR 16.5 lacs,1985,"250,000 km",Diesel,2800 cc,Manual,page 152,https://www.pakwheels.com/used-cars/toyota-surf-1985-for-sale-in-lahore-9289073
5344,Toyota Passo 2014 X for Sale,PKR 23.75 lacs,2014,"140,000 km",Petrol,1000 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/toyota-passo-2014-for-sale-in-lahore-9289062
